Line Number	Verse Reference	Word	Suggested Fix	Full Line
12592	ΒΑΣΙΛΕΙΩΝ Δ 24:18	θυγὰτηρ	θυγάτηρ	\vs{18}Υἱὸς εἴκοσι καὶ ἑνὸς ἑνιαυτῶν Σεδεκίας ἐν τῷ βασιλεύειν αὐτὸν, καὶ ἔνδεκα ἔτη ἐβασίλευσεν ἐν Ἱερουσαλὴμ, καὶ ὄνομα τῇ μητρὶ αὐτοῦ Ἀμιτὰλ, θυγὰτηρ Ἱερεμίου.
12778	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 3:20	Βαραχὶα	Βαραχία	\vs{20}καὶ Ἀσουβὲ, καὶ Ὀὸλ, καὶ Βαραχὶα, καὶ Ἀσαδία, καὶ Ἀσοβὲδ, πέντε.
12832	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 4:40	πλεὶονας	πλείονας	\vs{40}Καὶ εὗρον νομὰς πλεὶονας καὶ ἀγαθάς· καὶ ἡ γῆ πλατεῖα ἐναντίον αὐτῶν, καὶ εἰρήνη καὶ ἡσυχία, ὅτι ἐκ τῶν υἱῶν Χὰμ τὼν κατοικούντων ἐκεῖ ἔμπροσθεν.
12901	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 6:15	Ἀσαῒας	Ἀσαΐας	\vs{15}Σαμαὰ υἱὸς αὐτοῦ, Ἀγγία υἱὸς αὐτοῦ, Ἀσαῒας υἱὸς αὐτοῦ.
12925	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 6:36	Σαραῒα	Σαραΐα	\vs{36}Βοκκὶ υἱὸς αὐτοῦ, Ὀζὶ υἱὸς αὐτοῦ, Σαραῒα υἱὸς αὐτοῦ,
12965	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 7:3	Ιεζραῒα	Ιεζραΐα	\vs{3}Καὶ υἱοὶ ʼΟζὶ, ʼΙεζραῒα· καὶ υἱοὶ ʼΙεζραΐ, Μιχαὴλ, ʼΑβδιοὺ, καὶ ʼΙωὴλ, καὶ ʼΙεσία, πέντε, ἄρχοντες πάντες.
13346	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 16:32	ξὺλον	ξύλον	\vs{32}Βομβήσει ἡ θάλασσα σὺν τῷ πληρώματι, καὶ ξὺλον ἀγροῦ καὶ πάντα τὰ ἐν αὐτῷ
13359	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 16:42	κὺμβαλα	κύμβαλα	\vs{42}Καὶ μετʼ αὐτῶν σάλπιγγες καὶ κὺμβαλα τοῦ ἀναφωνεῖν καὶ ὄργανα τῶν ῷδῶν τοῖ Θεοῦ, οἱ δὲ υἱοὶ Ἰδιθοὺν εἰς τὴν πύλην.
13371	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 17:6	καλὺμματι	καλύμματι	\vs{6}καὶ ἤμην ἐν σκηνῇ καὶ ἐν καλὺμματι ἐν πᾶσιν οἷς διῆλθον ἐν παντὶ Ἰσραήλ· εἰ λαλῶν ἐλάλησα πρὸς μίαν φυλὴν τοῦ Ἰσραὴλ οἷς ἐνετειλάμην τοῦ ποιμαίνειν τὸν λαόν μου, λέγων, ὅτι οὐκ ᾠκοδομήσατέ μοι οἶκον κέδρινον;
13383	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 17:16	ἐκὰθισεν	ἐκάθισεν	\vs{16}Καὶ ἦλθεν ὁ βασιλεὺς Δαυὶδ καὶ ἐκὰθισεν ἀπέναντι Κυρίου, καὶ εἶπε, τίς εἰμι ἐγὼ Κύριε ὁ Θεός; καὶ τίς ὁ οἶκός μου, ὅτι ἠγάπησάς με ἕως αἰῶνος;
13412	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 18:12	ὀκτὼκαὶδεκα	ὀκτώκαὶδεκα	\vs{12}Καὶ Ἀβεσὰ υἱὸς Σαρουίας ἐπάταξε τὴν Ἰδουμαίαν ἐν κοιλάδι τῶν ἁλῶν, ὀκτὼκαὶδεκα χιλιάδας.
13427	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 19:6	ἠπχὺνθη	ἠπχύνθη	\vs{6}Καὶ εἶδον οἱ υἱοὶ Ἀμμὼν ὅτι ἠπχὺνθη λαὸς Δαυίδ, καὶ ἀπέστειλεν Ἁνὰν καὶ οἱ υἱοὶ Ἀμμὼν χίλια τάλαντα ἀργυρίου τοῦ μισθώσασθαι ἑαυτοῖς ἐκ Συρίας Μεσοποταμίας καὶ ἐκ Συρίας Μααχὰ καὶ παρὰ Σωβὰλ ἅρματα καὶ ἱππεῖς.
13461	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 21:3	ἳνα	ἵνα	\vs{3}Καὶ εἶπεν Ἰωάβ, Προσθείη Κύριος ἐπὶ τὸν λαὸν αὐτοῦ, ὡς αὐτοὶ ἑκατονταπλασίως, καὶ οἱ ὀφθαλμοὶ τοῦ κυρίου μυυ τοῦ βασιλέως βλέποντες· πάντες τῷ κυρίῳ μου παῖδεσ· ἱνατί ζητεῖ κύριός μου τοῦτο; ἳνα μὴ γένηται εἰς ἁμαρτίαν τῷ Ἰσραήλ.
13743	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 29:2	χρυσὶον	χρυσίον	\vs{2}Κατὰ πᾶσαν τὴν δύναμιν ἡτοίμακα εἰς οἶκον Θεοῦ μου χρυσὶον, ἀργύριον, χαλκόν, σίδηρον, ξύλα, λίθους σοὰμ, καὶ πληρώσεως λίθους πολυτελεῖς καὶ ποικίλους, καὶ πάντα λίθον τίμιον, καὶ Πάριον πολύν.
14465	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 25:3	τὸυ	τόυ	\vs{3}Καὶ ἐγένετο ὡς κατέστη ἡ βασιλεία ἐν χειρὶ αὐτοῦ, καὶ ἐθανάτωσε τοὺς παῖδας αὐτοῦ τοὺς φονεύσαντας τὸυ βασιλέα πατέρα αὐτοῦ·
14877	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 36:22	στὸματος	στόματος	\vs{22}Ἔτους πρώτου Κύρου βασιλέως Περσῶν, μετὰ τὸ πληρωθῆναι ῥῆμα Κυρίου διὰ στὸματος Ἱερεμίου, ἐξήγειρε Κύριος τὸ πνεῦμα Κύρου βασιλέως Περσῶν, καὶ παρήγγειλε κηρύξαι ἐν πάσῃ τῇ βασιλείᾳ αὐτοῦ ἑν γραπτῷ, λέγων,
15320	ΝΕΕΜΙΑΣ 3:6	ἓως	ἕως	\vs{6a}Καὶ ἐπὶ χεῖρα αὐτῶν ἐκράτησαν Μαλτίας ὁ Γαβαωνίτης, καὶ Εὐάρων ὁ Μηρωνωθίτης, ἄνδρες τῆς Γαβαὼν καὶ τῆς Μασφὰ ἓως θρόνου τοῦ ἄρχοντος τοῦ πέραν τοῦ ποταμοῦ.
15742	ΝΕΕΜΙΑΣ 12:31	τεὶχους	τείχους	\vs{31}Καὶ ἀνήνεγκαν τοὺς ἄρχοντας Ἰούδα ἐπάνω τοῦ τείχους· καὶ ἔστησαν δύο περὶ αἰνέσεως μεγάλους, καὶ διῆλθον ἐκ δεξιῶν ἐπάνω τοῦ τεὶχους τῆς κοπρίας.
15745	ΝΕΕΜΙΑΣ 12:34	Ἱερεμὶα	Ἱερεμία	\vs{34}καὶ Ἰούδα, καὶ Βενιαμὶν, καὶ Σαμαΐας, καὶ Ἱερεμὶα.
15746	ΝΕΕΜΙΑΣ 12:35	Ἰωνὰθαν	Ἰωνάθαν	\vs{35}Καὶ ἀπὸ τῶν υἱῶν τῶν ἱερέων ἐν σάλπιγξι, Ζαχαρίας υἱὸς Ἰωνὰθαν, υἱὸς Σαμαΐα, υἱὸς Ματθανία, υἱὸς Μιχαία, υἱὸς Ζακχοὺρ, υἱὸς Ἀσάφ·
15954	ΕΣΘΗΡ 4:17	Μὴπαραδῷς	Μήπαραδῷς	\vs{17q}Μὴπαραδῷς Κύριε τὸ σκῆπτρόνσουτοῖς μὴοὖσι, καὶ μὴ καταγελασάτωσαν ἐν τῇ πτώσει ἡμῶν, ἀλλὰ στρέψον τὴν βουλὴν αὐτῶν ἐπʼ αὐτούς· τὸν δὲ ἀρξάμενον ἐφʼ ἡμᾶς παραδειγμάτισον.
15954	ΕΣΘΗΡ 4:17	μὴοὖσι	μήοὖσι	\vs{17q}Μὴπαραδῷς Κύριε τὸ σκῆπτρόνσουτοῖς μὴοὖσι, καὶ μὴ καταγελασάτωσαν ἐν τῇ πτώσει ἡμῶν, ἀλλὰ στρέψον τὴν βουλὴν αὐτῶν ἐπʼ αὐτούς· τὸν δὲ ἀρξάμενον ἐφʼ ἡμᾶς παραδειγμάτισον.
16307	ΙΩΒ 6:22	ἢτησα	ἤτησα	\vs{22}Τί γάρ; μήτι ὑμᾶς ἢτησα, ἢ τῆς παρʼ ὑμῶν ἰσχύος ἐπιδέομαι,
17007	ΙΩΒ 30:4	ῥὶζας	ῥίζας	\vs{4}Οἱ περικυκλοῦντες ἄλιμα ἐπὶ ἠχοῦντι, οἵτινες ἄλιμα ἦν αὐτῶν τὰ σῖτα, ἄτιμοι δὲ καὶ πεφαυλισμένοι, ἐνδεεῖς παντὸς ἀγαθοῦ, οἳ καὶ ῥὶζας ξύλων ἐμασσῶντο ὑπὸ λιμοῦ μεγάλου.
17247	ΙΩΒ 36:21	τοὺτων	τούτων	\vs{21}ἀλλὰ φύλαξαι μὴ πράξῃς ἄτοκα· ἐπὶ τοὺτων γὰρ ἐξείλω ἀπὸ πτωχείας.
17391	ΙΩΒ 40:8	ἳνα	ἵνα	\vs{8}Μὴ ἀποποιοῦ μου τὸ κρίμα· οἴει δέ με ἄλλως σοι κεχρηματικέναι, ἢ ἳνα ἀναφανῇς δίκαιος;
17394	ΙΩΒ 40:11	πὰντα	πάντα	\vs{11}Ἀπόστειλον δὲ ἀγγέλους ὀργῇ, πὰντα δὲ ὑβριστὴν ταπείνωσον.
17458	ΙΩΒ 42:7	Ἐλὺιφὰς	Ἐλύιφὰς	\vs{7}Ἐγένετο δὲ μετὰ τὸ λαλῆσαι τὸν Κύριον πάντα τὰ ῥήματα ταῦτα τῷ Ἰώβ, εἶπεν ὁ Κύριος Ἐλὺιφὰς τῷ Θαιμανὺίτῃ, ἥμαρτες σὺ, καὶ οἱ δὺο φίλοι σου· οὐ γὰρ ἐλαλήσατε ἐνώπιόν μου ἀληθὲς οὐδὲν, ὥσπερ ὁ θεράπων μου Ἰώβ.
17458	ΙΩΒ 42:7	Θαιμανὺίτῃ	Θαιμανύίτῃ	\vs{7}Ἐγένετο δὲ μετὰ τὸ λαλῆσαι τὸν Κύριον πάντα τὰ ῥήματα ταῦτα τῷ Ἰώβ, εἶπεν ὁ Κύριος Ἐλὺιφὰς τῷ Θαιμανὺίτῃ, ἥμαρτες σὺ, καὶ οἱ δὺο φίλοι σου· οὐ γὰρ ἐλαλήσατε ἐνώπιόν μου ἀληθὲς οὐδὲν, ὥσπερ ὁ θεράπων μου Ἰώβ.
17458	ΙΩΒ 42:7	δὺο	δύο	\vs{7}Ἐγένετο δὲ μετὰ τὸ λαλῆσαι τὸν Κύριον πάντα τὰ ῥήματα ταῦτα τῷ Ἰώβ, εἶπεν ὁ Κύριος Ἐλὺιφὰς τῷ Θαιμανὺίτῃ, ἥμαρτες σὺ, καὶ οἱ δὺο φίλοι σου· οὐ γὰρ ἐλαλήσατε ἐνώπιόν μου ἀληθὲς οὐδὲν, ὥσπερ ὁ θεράπων μου Ἰώβ.
18019	ΨΑΛΜΟΙ 30:3	τὰχυνον	τάχυνον	\vs{3}Κλῖνον πρὸς μὲ τὸ οὖς σου, τὰχυνον τοῦ ἐξελέσθαι με γενοῦ μοι εἰς Θεὸν ὑπερασπιστὴν καὶ εἰς οἶκον καταφυγῆς τοῦ σῶσαί με.
21182	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 11:24	εἰσὶδέ	εἰσίδέ	\vs{24}Εἰσὶν, οἳ τὰ ἴδια σπείροντες πλείονα ποιοῦσιν· εἰσὶδέ καὶ οἳ συνάγοντες ἐλαττονοῦνται.
21897	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 29:16	πολλαὶγίνονται	πολλαίγίνονται	\vs{16}Πολλῶν ὄντων ἀσεβῶν πολλαὶγίνονται ἁμαρτίαι, οἱ δὲ δίκαιοι ἐκείνων πιπτόντων κατάφοβοι γίνονται.
22091	ΕΚΚΛΗΣΙΑΣΤΗΣ 6:10	ἰσχυροτὲρου	ἰσχυροτέρου	\vs{10}Εἰ τι ἐγένετο, ἤδη κέκληται ὄνομα αὐτοῦ, καὶ ἐγνώσθη ὅ ἐστιν ἄνθρωπος, καὶ οὐ δυνήσεται κριθῆναι μετὰ τοῦ ἰσχυροτὲρου ὑπὲρ αὐτόν.
22640	ΗΣΑΙΑΣ 8:11	πορεὶᾳ	πορείᾳ	\vs{11}Οὕτω λέγει Κύριος, Τῇ ἰσχυρᾷ χειρὶ ἀπειθοῦσι τῇ πορεὶᾳ τῆς ὁδοῦ τοῦ λαοῦ τούτου, λέγοντες,
22862	ΗΣΑΙΑΣ 17:6	τὰδε	τάδε	\vs{6}Καὶ καταλειφθῇ ἐν αὐτῇ καλάμη, ἢ ὡς ῥῶγες ἐλαίας δύο ἢ τρεῖς ἐπʼ ἄκρου μετεώρου, ἢ τέσσαρες ἢ πέντε ἀπὶ τῶν κλάδων αὐτῶν καταλειφθῇ· τὰδε λέγει Κύριος ὁ Θεὸς Ἰσραήλ.
22868	ΗΣΑΙΑΣ 17:10	διὰτοῦτο	διάτοῦτο	\vs{10}διότι κατέλιπες τὸν Θεὸν τὸν σωτῆρά σου, καὶ Κυρίου τοῦ βοηθοῦ σου οὐκ ἐμνήσθης· διὰτοῦτο φυτεύσεις φύτευμα ἄπιστον, καὶ σπέρμα ἄπιστον.
22889	ΗΣΑΙΑΣ 19:2	νὸμος	νόμος	\vs{2}Καὶ ἐπεγερθήσονται Αἰγύπτιοι ἐπʼ Αἰγυπτίους, καὶ πολεμήσει ἄνθρωπος τὸν ἀδελφὸν αὐτοῦ, καὶ ἄνθρωπος τὸν πλησίον αὐτοῦ, πόλις ἐπὶ πόλιν, καὶ νὸμος ἐπὶ νὸμον.
22889	ΗΣΑΙΑΣ 19:2	νὸμον	νόμον	\vs{2}Καὶ ἐπεγερθήσονται Αἰγύπτιοι ἐπʼ Αἰγυπτίους, καὶ πολεμήσει ἄνθρωπος τὸν ἀδελφὸν αὐτοῦ, καὶ ἄνθρωπος τὸν πλησίον αὐτοῦ, πόλις ἐπὶ πόλιν, καὶ νὸμος ἐπὶ νὸμον.
22973	ΗΣΑΙΑΣ 22:22	ὢμῳ	ὤμῳ	\vs{22}Καὶ δώσω τὴν δόξαν Δαυεὶδ αὐτῷ, καὶ ἄρξει, καὶ οὐκ ἔσται ὁ ἀντιλέγων· καὶ δώσω αὐψῷ τὴν κλεῖδα οἴκου Δαυὶδ ἐπὶ τῷ ὢμῳ αὐτοῦ· καὶ ἀνοίξει, καὶ οὐκ ἔσται ὁ ἀποκλείων· καὶ κλείσει, καὶ οὐκ ἔσται ὁ ἀνοίγων.
23194	ΗΣΑΙΑΣ 30:28	σὺρον	σύρον	\vs{28}Καὶ τὸ πνεῦμα αὐτοῦ ὡς ὕδωρ ἐν φάραγγι σὺρον, ἥξει ἕως τοῦ τραχήλου, καὶ διαιρεθήσεται, τοῦ ταράξαι ἔθνη ἐπὶ πλανήσει ματαίᾳ, καὶ διώξεται αὐτοὺς πλάνησις, καὶ λήψεται αὐτοὺς κατὰ πρόσωπον αὐτῶν.
23283	ΗΣΑΙΑΣ 34:13	ἀναφυὴσει	ἀναφυήσει	\vs{13}Καὶ ἀναφυὴσει εἰς τὰς πόλεις αὐτῶν ἀκάνθινα ξύλα, καὶ εἰς τὰ ὀχυρώματα αὐτῆς· καὶ ἔσται ἐπαύλεις σειρήνων, καὶ αὐλὴ στρουθῶν.
23475	ΗΣΑΙΑΣ 41:14	λυτρούμενὸσσε	λυτρούμενόσσε	\vs{14}μὴ φοβοῦ Ἰακὼβ ὀλιγοστὸς Ἰσραὴλ· ἐγὼ ἐβοήθησά σοι, λέγει ὁ Θεὸς σου, ὁ λυτρούμενὸσσε Ἰσραήλ.
23597	ΗΣΑΙΑΣ 44:26	ῥὴμα	ῥήμα	\vs{26}καὶ ἱστῶν ῥὴμα παιδὸς αὐτοῦ, καὶ τὴν βουλὴν τῶν ἀγγέλων αὐτοῦ ἀληθεύων· ὁ λέγων τῇ Ἱερουσαλὴμ, κατοικηθήσῃ, καὶ ταῖς πόλεσι τῆς Ἰδουμαίας, οἰκοδομηθήσεσθε, καὶ τὰ ἔρημα αὐτῆς ἀνατελεῖ·
23655	ΗΣΑΙΑΣ 47:2	ἀποκὸλυψαι	ἀποκόλυψαι	\vs{2}Λάβε μύλον, ἄλεσον ἄλευρον, ἀποκὸλυψαι τὸ κατακάλυμμά σου, ἀνακάλυψαι τὰς πολιὰς, ἀνάσυρε τὰς κνήμας, διάβηθι ποταμούς.
24063	ΗΣΑΙΑΣ 65:4	ἐνὺπνια	ἐνύπνια	\vs{4}Ἐν τοῖς μνήμασι, καὶ ἐν τοῖς σπηλαίοις κοιμῶνται διὰ ἐνὺπνια, οἱ ἔσθοντες κρέας ὕειον, καὶ ζωμὸν θυσιῶν, μεμολυμμένα πάντα τὰ σκεύη αὐτῶν,
24105	ΗΣΑΙΑΣ 66:8	ἑὼρακεν	ἑώρακεν	\vs{8}Τίς ἤκουσε τοιοῦτο, καὶ τίς ἑὼρακεν οὕτως; εἰ ὤδινε γῆ ἐν ἡμέρᾳ μιᾷ, ἢ καὶ ἐτέχθη ἔθνος εἰς ἅπαξ, ὅτι ὤδινε καὶ ἔτεκε Σιὼν τὰ παιδία αὐτῆς;
24707	ΙΕΡΕΜΙΑΣ 17:24	ἓσται	ἕσται	\vs{24}Καὶ ἓσται, ἐὰν εἰσακούσητέ μου, λέγει Κύριος, τοῦ μὴ εἰσφέρειν βαστάγματα διὰ τῶν πυλῶν τῆς πόλεως ταύτης ἐν τῇ ἡμέρᾳ τῶν σαββάτων καὶ ἁγιάζειν τὴν ἡμέραν τῶν σαββάτων, τοῦ μὴ ποιεῖν πᾶν ἔργον,
24796	ΙΕΡΕΜΙΑΣ 21:4	τὰδε	τάδε	\vs{4}τὰδε λέγει Κύριος, ἰδοὺ ἐγὼ μεταστρέφω τὰ ὅπλα τὰ πολεμικὰ, ἐν οἷς ὑμεῖς πολεμεῖτε ἐν αὐτοῖς πρὸς τοὺς Χαλδαίους τοὺς συγκεκλεικότας ὑμᾶς ἔξωθεν τοῦ τείχους· καὶ συνάξω αὐτοὺς εἰς τὸ μέσον τῆς πόλεως ταύτης,
25490	ΙΕΡΕΜΙΑΣ 39:23	ἐποὶησαν	ἐποίησαν	\vs{23}Καὶ εἰσήλθοσαν καὶ ἔλαβον αὐτὴν, καὶ οὐκ ἤκουσαν τῆς φωνῆς σου, καὶ ἐν τοῖς προστάγμασί σου οὐκ ἐπορεύθησαν· ἅπαντα ἃ ἐνετείλω αὐτοῖς οὐκ ἐποίησαν, καὶ ἐποὶησαν συμβῆναι αὐτοῖς πάντα τὰ κακὰ ταῦτα.
25883	ΙΕΡΕΜΙΑΣ 52:26	ἢγαγεν	ἤγαγεν	\vs{26}Καὶ ἔλαβεν αὐτοὺς Ναβουζαρδὰν ὁ ἀρχιμάγειρος τοῦ βασιλέως, καὶ ἢγαγεν αὐτοὺς πρὸς βασιλέα Βαβυλῶνος εἰς Δεβλαθά.
26874	ΙΕΖΕΚΙΗΛ 22:7	μητὲρα	μητέρα	\vs{7}Πατέρα καὶ μητὲρα ἐκακολόγουν ἐν σοὶ, καὶ πρὸς τὸν προσήλυτον ἀνεστρέφοντο ἐν ἀδικίαις ἐν σοί, ὀρφανὸν καὶ χήραν κατεδυνάστευον.
26934	ΙΕΖΕΚΙΗΛ 23:23	ὀνομαστὺος	ὀνομαστύος	\vs{23}υἱοὺς Βαβυλῶνος, καὶ πάντας τοὺς Χαλδαίους, Φακοὺκ, καὶ Σουὲ, καὶ Ὑχουὲ, καὶ πάντας υἱοὺς Ἀσσυρίων μετʼ αὐτῶν, νεανίσκους ἐπιλέκτους, ἡγεμόνας καὶ στρατηγοὺς, πάντας τρισσοὺς καὶ ὀνομαστὺος, ἱππεύοντας ἐφʼ ἵππων.
26963	ΙΕΖΕΚΙΗΛ 23:47	ἀποκτενοὺσι	ἀποκτενούσι	\vs{47}καὶ λιθοβόλησον ἐπʼ αὐτὰς λίθοις ὄχλων, καὶ κατακέντει αὐτὰς ἐν τοῖς ξίφεσιν αὐτῶν· υἱοὺς αὐτῶν καὶ θυγατέρας αὐτῶν ἀποκτενοὺσι, καὶ τοὺς οἴκους αὐτῶν ἐμπρήσουσι.
27295	ΙΕΖΕΚΙΗΛ 33:10	οὓτως	οὕτως	\vs{10}Καὶ σὺ υἱὲ ἀνθρώπου, εἰπὸν τῷ οἴκῳ Ἰσραὴλ, οὓτως ἐλαλήσατε λέγοντες, αἱ πλάναι ἡμῶν, καὶ αἱ ἀνομίαι ἡμῶν ἐφʼ ἡμῖν εἰσι, καὶ ἐν αὐταῖς ἡμεῖς τηκόμεθα, καὶ πῶς ζησόμεθα;
27798	ΙΕΖΕΚΙΗΛ 46:4	ἂμωμον	ἄμωμον	\vs{4}Καὶ τὰ ὁλοκαυτώματα προσοίσει ὁ ἀφηγούμενος τῷ Κυρίῳ ἐν τῇ ἡμέρᾳ τῶν σαββάτων, ἓξ ἀμνοὺς ἀμώμους, καὶ κριὸν ἂμωμον,
27811	ΙΕΖΕΚΙΗΛ 46:14	τὸπρωῒ	τόπρωῒ	\vs{14}Καὶ μαναὰ ποιήσει ἐπʼ αὐτῷ τὸπρωῒ, ἕκτον τοῦ μέτρου, καὶ ἐλαίου τρίτον τοῦ εἲν τοῦ ἀναμίξαι τὴν σεμίδαλιν μαναὰ τῷ Κυρίῳ, πρόσταγμα διαπαντός.
27833	ΙΕΖΕΚΙΗΛ 47:6	ἑὼρακας	ἑώρακας	\vs{6}Καὶ εἶπε πρὸς μὲ, ἑὼρακας υἱὲ ἀνθρώπου; καὶ ἤγαγέ με, καὶ ἐπέστρεψέ με ἐπι τὸ χεῖλος τοῦ ποταμοῦ,
28118	ΔΑΝΙΗΛ 3:95	σὼματα	σώματα	\vs{95}Καὶ ἀπεκρίθη Ναβουχοδονόσορ ὁ βασιλεὺς, καὶ εἶπεν, εὐλογητὸς ὁ Θεὸς τοῦ Σεδρὰχ, Μισὰχ, Ἀβδεσαγὼ, ὃς ἀπέστειλε τὸν ἄγγελον αὐτοῦ, καὶ ἐξείλατο τοὺς παῖδας αὐτοῦ, ὅτι ἐπεποίθεισαν ἐπʼ αὐτῷ· καὶ τὸ ῥῆμα τοῦ βασιλέως ἠλλοίωσαν, καὶ παρέδωκαν τὰ σὼματα αὐτῶν εἰς πῦρ, ὅπως μὴ λατρεύσωσι μηδὲ προσκυνήσωσι παντὶ θεῷ, ἀλλʼ ἢ τῷ Θεῷ αὐτῶν.
28146	ΔΑΝΙΗΛ 4:20	ὓψος	ὕψος	\vs{20}Τὸ δένδρον ὃ εἶδες τὸ μεγαλυνθὲν καὶ τὸ ἰσχυκὸς, οὗ τὸ ὓψος ἔφθανεν εἰς τὸν οὐρανὸν, καὶ τὸ κῦτος αὐτοῦ εἰς πᾶσαν τὴν γῆν,
28231	ΔΑΝΙΗΛ 6:17	ἢγαγον	ἤγαγον	\vs{17}Τότε ὁ βασιλεὺς εἶπε· καὶ ἢγαγον τὸν Δανιὴλ, καὶ ἐνέβαλον αὐτὸν εἰς τὸν λάκκον τῶν λεόντων· καὶ εἶπεν ὁ βασιλεὺς τῷ Δανιὴλ, ὁ Θεός σου, ᾧ σὺ λατρεύεις ἐνδελεχῶς, αὐτὸς ἐξελεῖταί σε.
28272	ΔΑΝΙΗΛ 7:19	ὃτι	ὅτι	\vs{19}Καὶ ἐζήτουν ἀκριβῶς περὶ τοῦ θηοίου τοῦ τετάρτου· ὃτι ἦν διαφέρον παρὰ πᾶν θηρίον, φοβερὸν περισσῶς, οἱ ὀδόντες αὐτοῦ σιδηροῖ, καὶ ὄνυχες αὐτοῦ χαλκοῖ, ἐσθίον, καὶ λεπτῦνον, καὶ τὰ ἐπίλοιπα τοῖς ποσὶν αὐτοῦ συνεπάτει·
28350	ΔΑΝΙΗΛ 9:25	ἓως	ἕως	\vs{25}Καὶ γνώσῃ καὶ συνήσεις ἀπὸ ἐξόδου λόγου τοῦ ἀποκριθῆναι, καὶ τοῦ οἰκοδομῆσαι Ἱερουσαλὴμ, ἓως Χριστοῦ ἡγουμένου ἑβδομάδες ἑπτὰ, καὶ ἑβδομάδες ἑξηκονταδύο· καὶ ἐπιστρέψει, καὶ οἰκοδομηθήσεται πλατεία, καὶ τεῖχος, καὶ ἐκκενωθήσονται οἱ καιροί.
28656	ΩΣΗΕ 10:9	τὲκνα	τέκνα	\vs{9}Ἀφʼ οὗ οἱ βουνοὶ, ἥμαρτεν Ἰσραήλ, ἐκεῖ ἔστησαν· οὐ μὴ καταλάβῃ αὐτοὺς ἐν τῷ βουνῷ πόλεμος ἐπὶ τὰ τὲκνα ἀδικίας
28863	ΑΜΩΣ 1:14	τεὶχη	τείχη	\vs{14}Καὶ ἀνάψω πῦρ ἐπὶ τεὶχη Ῥαββὰθ, καὶ καταφάγεται θεμέλια αὐτῆς μετὰ κραυγῆς ἐν ἡμέρᾳ πολέμου, καὶ σεισθήσεται ἐν ἡμέραις συντελείας αὐτῆς,
29192	ΜΙΧΑΙΑΣ 2:4	λὰοῦ	λάοῦ	\vs{4}Ἐν τῇ ἡμέρᾳ ἐκείνῃ ληφθήσεται ἐφʼ ὑμᾶς παραβολὴ, καὶ θρηνηθήσεται θρῆνος ἐν μέλει, λέγων, ταλαιπωρίᾳ ἐταλαιπωρήσαμεν· μερὶς λὰοῦ μου κατεμετρήθη ἐν σχοινίῳ, καὶ οὐκ ἦν ὁ κωλύων αὐτὸν τοῦ ἀποστρέψαι· οἱ ἀγροὶ ὑμῶν διεμερίσθησαν.
29351	ΝΑΟΥΜ 2:10	σκεὺη	σκεύη	\vs{10}Διήρπαζον τὸ ἀργύριον, διήρπαζον τὸ χρυσίον, καὶ οὐκ ἦν πέρας τοῦ κόσμου αὐτῆς· βεβάρυνται ἐπὶ πάντα τὰ σκεὺη τὰ ἐπιθυμητὰ αὐτῆς.
29369	ΝΑΟΥΜ 3:8	Ἑτοιμασὰι	Ἑτοιμασάι	\vs{8}Ἑτοιμασὰι μερίδα, ἁρμόσαι χορδὴν, ἑτοιμάσαι μερίδα Ἀμμών· ἡ κατοικοῦσα ἐν ποταμοῖς, ὕδωρ κύκλῳ αὐτῆς, ἧς ἡ ἀρχὴ θάλασσα, καὶ ὕδωρ τὰ τείχη αὐτῆς,
29415	ΑΜΒΑΚΟΥΜ 2:3	ὑπὸμεινον	ὑπόμεινον	\vs{3}Διότι ἔτι ὅρασις εἰς καιρὸν, καὶ ἀνατελεῖ εἰς πέρας, καὶ οὐκ εἰς κενόν· ἐὰν ὑστερήσῃ, ὑπὸμεινον αὐτὸν, ὅτι ἐρχόμενος ἥξει, καὶ οὐ μὴ χρονίσῃ.
29963	ΜΑΛΑΧΙΑΣ 3:2	ποὶα	ποία	\vs{2}καὶ τίς ὑπομενεῖ ἡμέραν εἰσόδου αὐτοῦ; ἢ τίς ὑποστήσεται ἐν τῇ ὀπτασίᾳ αὐτοῦ; διότι αὐτὸς εἰσπορεύεται ὡς πῦρ χωνευτηρίου, καὶ ὡς ποὶα πλυνόντων.
